2026-08-06 20:58:38 | DEBUG    | __main__:60 | <module>() | Это debug-сообщение (только в файл)
2026-08-06 20:58:38 | INFO     | __main__:61 | <module>() | Это info
2026-08-06 20:58:38 | WARNING  | __main__:62 | <module>() | Это warning
2026-08-06 20:58:38 | ERROR    | __main__:63 | <module>() | Это error
2026-08-06 20:58:38 | ERROR    | __main__:64 | <module>() | Это exception с traceback
NoneType: None
2026-08-06 21:00:18 | INFO     | __main__:20 | <module>() | start
2026-08-06 21:00:18 | INFO     | __main__:37 | init_db() | Database initialized.
2026-08-06 21:00:20 | INFO     | __main__:43 | write_to_db() | Writing data to database (genre: Бытовое фэнтези)...
2026-08-06 21:00:20 | INFO     | __main__:71 | write_to_db() | Успешно записано 10 книг за 2026-08-06 (жанр: Бытовое фэнтези)
2026-08-06 21:00:23 | INFO     | __main__:43 | write_to_db() | Writing data to database (genre: Любовное фэнтези)...
2026-08-06 21:00:23 | INFO     | __main__:71 | write_to_db() | Успешно записано 10 книг за 2026-08-06 (жанр: Любовное фэнтези)
2026-08-06 21:00:25 | INFO     | __main__:43 | write_to_db() | Writing data to database (genre: Магические академии)...
2026-08-06 21:00:25 | INFO     | __main__:71 | write_to_db() | Успешно записано 10 книг за 2026-08-06 (жанр: Магические академии)
2026-08-06 21:00:26 | INFO     | __main__:34 | <module>() | Done
2026-08-06 21:04:32 | INFO     | __main__:20 | <module>() | start
2026-08-06 21:04:32 | INFO     | __main__:37 | init_db() | Database initialized.
2026-08-06 21:04:34 | INFO     | __main__:43 | write_to_db() | Writing data to database (genre: Бытовое фэнтези)...
2026-08-06 21:04:34 | INFO     | __main__:71 | write_to_db() | Успешно записано 10 книг за 2026-08-06 (жанр: Бытовое фэнтези)
2026-08-06 21:04:36 | INFO     | __main__:43 | write_to_db() | Writing data to database (genre: Любовное фэнтези)...
2026-08-06 21:04:36 | INFO     | __main__:71 | write_to_db() | Успешно записано 10 книг за 2026-08-06 (жанр: Любовное фэнтези)
2026-08-06 21:04:38 | INFO     | __main__:43 | write_to_db() | Writing data to database (genre: Магические академии)...
2026-08-06 21:04:38 | INFO     | __main__:71 | write_to_db() | Успешно записано 10 книг за 2026-08-06 (жанр: Магические академии)
2026-08-06 21:04:39 | INFO     | __main__:34 | <module>() | Done
